UniProt.accession	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
Q16552	NA	SIMILARITY: Belongs to the IL-17 family. {ECO:0000305}.	IL-17 family	NA	NA	NA	NA	NA	NA	NA
P15692	NA	SIMILARITY: Belongs to the PDGF/VEGF growth factor family. {ECO:0000305}.	PDGF/VEGF growth factor family	NA	COMPBIAS 145..161;  /note=Basic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 132..161;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P10912	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.; DOMAIN: The extracellular domain is the ligand-binding domain representing the growth hormone-binding protein (GHBP).; DOMAIN: The ubiquitination-dependent endocytosis motif (UbE) is required for recruitment of the ubiquitin conjugation system on to the receptor and for its internalization.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 1 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 1 subfamily	NA	COMPBIAS 359..379;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 151..254;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 240..244;  /note=WSXWS motif; MOTIF 297..305;  /note=Box 1 motif; MOTIF 340..349;  /note=UbE motif	REGION 260..262;  /note=Required for ADAM17-mediated proteolysis;  /evidence=ECO:0000250; REGION 353..391;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P29460	NA	SIMILARITY: Belongs to the IL-12B family. {ECO:0000305}.	IL-12B family	NA	NA	DOMAIN 23..106;  /note=Ig-like C2-type; DOMAIN 237..328;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	NA	NA	NA
P16471	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 1 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 1 subfamily	NA	COMPBIAS 462..485;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 27..128;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 129..229;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 215..219;  /note=WSXWS motif; MOTIF 267..275;  /note=Box 1 motif	REGION 326..378;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 461..505;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 520..545;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P05113	NA	SIMILARITY: Belongs to the IL-5 family. {ECO:0000305}.	IL-5 family	NA	NA	NA	NA	NA	NA	NA
P05230	NA	SIMILARITY: Belongs to the heparin-binding growth factors family. {ECO:0000305}.	Heparin-binding growth factors family	NA	NA	NA	MOTIF 24..27;  /note=Nuclear localization signal	REGION 127..143;  /note=Heparin-binding	NA	NA
P06276	NA	SIMILARITY: Belongs to the type-B carboxylesterase/lipase family. {ECO:0000305}.	Type-B carboxylesterase/lipase family	NA	NA	NA	NA	REGION 144..145;  /note=Substrate binding	NA	NA
P13612	DOMAIN: The SG1 motif is involved in binding to chondroitin sulfate glycosaminoglycan and cell adhesion. {ECO:0000269|PubMed:9488735}.	SIMILARITY: Belongs to the integrin alpha chain family. {ECO:0000305}.	Integrin alpha chain family	NA	NA	NA	MOTIF 606..616;  /note=SG1; MOTIF 1003..1007;  /note=GFFKR motif	NA	REPEAT 35..100;  /note=FG-GAP 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 110..177;  /note=FG-GAP 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 185..237;  /note=FG-GAP 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 238..291;  /note=FG-GAP 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 292..351;  /note=FG-GAP 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 355..412;  /note=FG-GAP 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803; REPEAT 416..478;  /note=FG-GAP 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00803	NA
P02751	NA	NA	NA	NA	NA	DOMAIN 50..90;  /note=Fibronectin type-I 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 95..138;  /note=Fibronectin type-I 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 139..182;  /note=Fibronectin type-I 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 184..228;  /note=Fibronectin type-I 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 229..273;  /note=Fibronectin type-I 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 306..345;  /note=Fibronectin type-I 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 355..403;  /note=Fibronectin type-II 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478, ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 415..463;  /note=Fibronectin type-II 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478, ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 468..511;  /note=Fibronectin type-I 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 516..558;  /note=Fibronectin type-I 8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 559..602;  /note=Fibronectin type-I 9;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 610..702;  /note=Fibronectin type-III 1; DOMAIN 722..812;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316, ECO:0000255|PROSITE-ProRule:PRU00478, ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 813..904;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316, ECO:0000255|PROSITE-ProRule:PRU00478, ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 909..998;  /note=Fibronectin type-III 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316, ECO:0000255|PROSITE-ProRule:PRU00478, ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 999..1088;  /note=Fibronectin type-III 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316, ECO:0000255|PROSITE-ProRule:PRU00478, ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 1089..1175;  /note=Fibronectin type-III 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316, ECO:0000255|PROSITE-ProRule:PRU00478, ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 1176..1270;  /note=Fibronectin type-III 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316, ECO:0000255|PROSITE-ProRule:PRU00478, ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 1271..1359;  /note=Fibronectin type-III 8; extra domain B;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316, ECO:0000255|PROSITE-ProRule:PRU00478, ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 1360..1452;  /note=Fibronectin type-III 9;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316, ECO:0000255|PROSITE-ProRule:PRU00478, ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 1453..1540;  /note=Fibronectin type-III 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 1541..1634;  /note=Fibronectin type-III 11;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 1635..1726;  /note=Fibronectin type-III 12;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316, ECO:0000255|PROSITE-ProRule:PRU00478, ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 1727..1814;  /note=Fibronectin type-III 13; extra domain A;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 1815..1908;  /note=Fibronectin type-III 14;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 1909..1995;  /note=Fibronectin type-III 15;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 1996..2086;  /note=Fibronectin type-III 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 2194..2288;  /note=Fibronectin type-III 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 2295..2339;  /note=Fibronectin type-I 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 2340..2382;  /note=Fibronectin type-I 11;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 2384..2427;  /note=Fibronectin type-I 12;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478	MOTIF 1615..1617;  /note=Cell attachment site	REGION 27..48;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 52..272;  /note=Fibrin- and heparin-binding 1;  /evidence=ECO:0000269|PubMed:7989369; REGION 308..608;  /note=Collagen-binding; REGION 464..477;  /note=Critical for collagen binding; REGION 1358..1631;  /note=Cell-attachment; REGION 1660..1684;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1812..2082;  /note=Heparin-binding 2; REGION 1904..2082;  /note=Binds to FBLN1; REGION 2083..2202;  /note=V region (type III connecting segment, IIICS); REGION 2149..2169;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 2297..2428;  /note=Fibrin-binding 2	NA	NA
P14778	DOMAIN: The TIR domain mediates NAD(+) hydrolase (NADase) activity. Self-association of TIR domains is required for NADase activity. {ECO:0000255|PROSITE-ProRule:PRU00204}.	SIMILARITY: Belongs to the interleukin-1 receptor family. {ECO:0000305}.	Interleukin-1 receptor family	NA	COMPBIAS 555..569;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 23..110;  /note=Ig-like C2-type 1; DOMAIN 118..210;  /note=Ig-like C2-type 2; DOMAIN 226..328;  /note=Ig-like C2-type 3; DOMAIN 383..538;  /note=TIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00204	NA	REGION 540..569;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P07202	NA	SIMILARITY: Belongs to the peroxidase family. XPO subfamily. {ECO:0000255|PROSITE-ProRule:PRU00298}.	Peroxidase family, XPO subfamily	NA	COMPBIAS 918..933;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 740..795;  /note=Sushi;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 796..839;  /note=EGF-like; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076	NA	REGION 881..933;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P04070	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 43..88;  /note=Gla;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00463; DOMAIN 97..132;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 136..176;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 212..450;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
P48357	DOMAIN: The cytoplasmic domain may be essential for intracellular signal transduction by activation of JAK tyrosine kinase and STATs.; DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 2 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 2 subfamily	NA	NA	DOMAIN 239..333;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 331..429;  /note=Ig-like; DOMAIN 539..634;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 639..732;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 740..833;  /note=Fibronectin type-III 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 622..626;  /note=WSXWS motif; MOTIF 871..879;  /note=Box 1 motif	REGION 467..484;  /note=Leptin-binding;  /evidence=ECO:0000305|PubMed:22405007; REGION 893..898;  /note=Required for JAK2 activation;  /evidence=ECO:0000250|UniProtKB:P48356; REGION 898..906;  /note=Required for STAT3 phosphorylation;  /evidence=ECO:0000250|UniProtKB:P48356	NA	NA
P13726	NA	SIMILARITY: Belongs to the tissue factor family. {ECO:0000305}.	Tissue factor family	NA	NA	NA	MOTIF 46..48;  /note=WKS motif; MOTIF 77..79;  /note=WKS motif; MOTIF 190..192;  /note=WKS motif	NA	NA	NA
P01008	NA	SIMILARITY: Belongs to the serpin family. {ECO:0000305}.	Serpin family	NA	NA	NA	NA	NA	NA	NA
P22894	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	NA	NA	MOTIF 89..96;  /note=Cysteine switch;  /evidence=ECO:0000250	NA	REPEAT 276..325;  /note=Hemopexin 1; REPEAT 326..372;  /note=Hemopexin 2; REPEAT 374..420;  /note=Hemopexin 3; REPEAT 421..464;  /note=Hemopexin 4	NA
Q99062	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding. {ECO:0000269|PubMed:1717255}.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation. {ECO:0000269|PubMed:1717255}.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 2 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 2 subfamily	NA	NA	DOMAIN 25..117;  /note=Ig-like C2-type; DOMAIN 125..230;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 233..332;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 334..430;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 431..528;  /note=Fibronectin type-III 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 530..623;  /note=Fibronectin type-III 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 318..322;  /note=WSXWS motif; MOTIF 658..666;  /note=Box 1 motif	NA	NA	NA
P49763	DOMAIN: Isoform PlGF-2 contains a basic insert which acts as a cell retention signal.	SIMILARITY: Belongs to the PDGF/VEGF growth factor family. {ECO:0000305}.	PDGF/VEGF growth factor family	NA	COMPBIAS 205..221;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 175..221;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 193..213;  /note=Heparin-binding;  /evidence=ECO:0000305	NA	NA
P14735	DOMAIN: The SlyX motif may be involved in the non-conventional secretion of the protein. {ECO:0000250|UniProtKB:Q9JHR7}.	SIMILARITY: Belongs to the peptidase M16 family. {ECO:0000305}.	Peptidase M16 family	NA	NA	NA	MOTIF 853..858;  /note=SlyX motif;  /evidence=ECO:0000250|UniProtKB:Q9JHR7	REGION 336..342;  /note=Substrate binding exosite; REGION 359..363;  /note=Substrate binding;  /evidence=ECO:0000269|PubMed:18986166	NA	NA
P34998	DOMAIN: The transmembrane domain is composed of seven transmembrane helices that are arranged in V-shape. Transmembrane helix 7 assumes a sharply kinked structure. The antagonist CP-376395 binds at an allosteric site, far from the presumed binding site for the physiological peptide ligand.	SIMILARITY: Belongs to the G-protein coupled receptor 2 family. {ECO:0000305}.	G-protein coupled receptor 2 family	NA	NA	NA	NA	REGION 99..108;  /note=Important for peptide agonist binding; REGION 309..319;  /note=Important for antagonist binding	NA	NA
Q02763	DOMAIN: The soluble extracellular domain is functionally active in angiopoietin binding and can modulate the activity of the membrane-bound form by competing for angiopoietins. {ECO:0000269|PubMed:15284220}.	SIMILARITY: Belongs to the protein kinase superfamily. Tyr protein kinase family. Tie subfamily. {ECO:0000255|PROSITE-ProRule:PRU00159}.	Protein kinase superfamily, Tyr protein kinase family, Tie subfamily	NA	NA	DOMAIN 44..123;  /note=Ig-like C2-type 1; DOMAIN 210..252;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 254..299;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 301..341;  /note=EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 350..440;  /note=Ig-like C2-type 2; DOMAIN 447..541;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 545..636;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 641..735;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 824..1096;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	NA	NA	NA
O14788	NA	SIMILARITY: Belongs to the tumor necrosis factor family. {ECO:0000305}.	Tumor necrosis factor family	NA	COMPBIAS 27..42;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 1..43;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P33681	NA	NA	NA	NA	NA	DOMAIN 35..135;  /note=Ig-like V-type; DOMAIN 145..230;  /note=Ig-like C2-type	NA	NA	NA	NA
P00747	DOMAIN: Kringle domains mediate interaction with CSPG4. {ECO:0000269|PubMed:10889192}.	SIMILARITY: Belongs to the peptidase S1 family. Plasminogen subfamily. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family, Plasminogen subfamily	NA	NA	DOMAIN 20..98;  /note=PAN;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00315; DOMAIN 103..181;  /note=Kringle 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 184..262;  /note=Kringle 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 275..352;  /note=Kringle 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 377..454;  /note=Kringle 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 481..560;  /note=Kringle 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 581..808;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	REGION 126..145;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 396..416;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P00749	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 27..63;  /note=EGF-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 70..151;  /note=Kringle;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 179..424;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	REGION 34..57;  /note=Binds urokinase plasminogen activator surface receptor;  /evidence=ECO:0000250; REGION 152..177;  /note=Connecting peptide	NA	NA
Q99542	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	NA	NA	MOTIF 83..90;  /note=Cysteine switch;  /evidence=ECO:0000250	REGION 262..288;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 286..333;  /note=Hemopexin 1; REPEAT 334..380;  /note=Hemopexin 2; REPEAT 381..425;  /note=Hemopexin 3; REPEAT 426..472;  /note=Hemopexin 4	NA
P09172	NA	SIMILARITY: Belongs to the copper type II ascorbate-dependent monooxygenase family. {ECO:0000305}.	Copper type II ascorbate-dependent monooxygenase family	NA	COMPBIAS 591..606;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 57..173;  /note=DOMON;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00246	NA	REGION 590..617;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P00488	NA	SIMILARITY: Belongs to the transglutaminase superfamily. Transglutaminase family. {ECO:0000305}.	Transglutaminase superfamily, Transglutaminase family	NA	NA	NA	NA	REGION 1..27;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P01584	NA	SIMILARITY: Belongs to the IL-1 family. {ECO:0000305}.	IL-1 family	NA	NA	NA	MOTIF 228..241;  /note=Involved in interaction with TMED10 C-terminus;  /evidence=ECO:0000269|PubMed:32272059	NA	NA	NA
P01024	NA	NA	NA	NA	NA	DOMAIN 693..728;  /note=Anaphylatoxin-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00022; DOMAIN 1518..1661;  /note=NTR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00295	NA	REGION 954..973;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1634..1659;  /note=Interaction with CFP/properdin;  /evidence=ECO:0000269|PubMed:28264884, ECO:0000269|PubMed:31507604	NA	NA
Q9Y5R2	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme.; DOMAIN: The PDZ-binding motif (also named EWV motif) is required for interaction with PDZ domains of APBA3 and recycling through the trans-Golgi network. {ECO:0000250}.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	COMPBIAS 7..25;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 347..363;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	MOTIF 137..144;  /note=Cysteine switch;  /evidence=ECO:0000250; MOTIF 643..645;  /note=PDZ-binding	REGION 1..26;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 323..380;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 377..425;  /note=Hemopexin 1; REPEAT 426..471;  /note=Hemopexin 2; REPEAT 473..521;  /note=Hemopexin 3; REPEAT 522..569;  /note=Hemopexin 4	NA
