hgnc_symbol	description	mean_islet_tpm	Protein.families	Subcellular_location	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession
SLC17A7	solute carrier family 17 member 7 	0.8520176258426966	Major facilitator superfamily, Sodium/anion cotransporter family, VGLUT subfamily	Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:Q3TXX4}. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:Q3TXX4}.	clathrin-sculpted glutamate transport vesicle membrane [GO:0060203]; excitatory synapse [GO:0060076]; integral component of membrane [GO:0016021]; integral component of synaptic vesicle membrane [GO:0030285]; intracellular organelle [GO:0043229]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; presynaptic active zone [GO:0048786]; synaptic vesicle membrane [GO:0030672]	L-glutamate transmembrane transporter activity [GO:0005313]; neurotransmitter transmembrane transporter activity [GO:0005326]; sodium:inorganic phosphate symporter activity [GO:0015319]; sodium:phosphate symporter activity [GO:0005436]; transmembrane transporter activity [GO:0022857]	anion transport [GO:0006820]; brain development [GO:0007420]; ion transport [GO:0006811]; neural retina development [GO:0003407]; neurotransmitter loading into synaptic vesicle [GO:0098700]; neurotransmitter transport [GO:0006836]; phosphate ion transport [GO:0006817]; regulation of synapse structure or activity [GO:0050803]; regulation of synaptic vesicle endocytosis [GO:1900242]; synaptic transmission, glutamatergic [GO:0035249]	ENSG00000104888	Q9P2U7
UNC5C	unc-5 netrin receptor C 	0.8433125854273343	Unc-5 family	Cell membrane {ECO:0000269|PubMed:25419706}; Single-pass type I membrane protein {ECO:0000255}. Cell surface {ECO:0000269|PubMed:25419706}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:Q761X5}. Cell projection, axon {ECO:0000250|UniProtKB:O08747}. Cell projection, dendrite {ECO:0000250|UniProtKB:O08747}. Cell projection, growth cone {ECO:0000250|UniProtKB:O08747}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:O08747}. Cell projection, filopodium {ECO:0000250|UniProtKB:O08747}.	cell surface [GO:0009986]; dendrite [GO:0030425]; filopodium [GO:0030175]; growth cone [GO:0030426]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; synapse [GO:0045202]	netrin receptor activity [GO:0005042]; netrin receptor activity involved in chemorepulsion [GO:0005043]; protein kinase binding [GO:0019901]; tubulin binding [GO:0015631]	anterior/posterior axon guidance [GO:0033564]; apoptotic process [GO:0006915]; axon guidance [GO:0007411]; brain development [GO:0007420]; chemorepulsion of axon [GO:0061643]; dorsal root ganglion development [GO:1990791]; positive regulation of apoptotic process [GO:0043065]; regulation of cell migration [GO:0030334]	ENSG00000182168	O95185
ITGB7	integrin subunit beta 7 	0.8304585603712041	Integrin beta chain family	Membrane; Single-pass type I membrane protein.	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integrin alpha4-beta7 complex [GO:0034669]; integrin complex [GO:0008305]; membrane [GO:0016020]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	cell adhesion molecule binding [GO:0050839]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]; signaling receptor activity [GO:0038023]; virus receptor activity [GO:0001618]	cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell-matrix adhesion [GO:0007160]; cell-matrix adhesion involved in ameboidal cell migration [GO:0003366]; cell migration [GO:0016477]; extracellular matrix organization [GO:0030198]; heterotypic cell-cell adhesion [GO:0034113]; integrin-mediated signaling pathway [GO:0007229]; leukocyte tethering or rolling [GO:0050901]; receptor clustering [GO:0043113]; regulation of immune response [GO:0050776]; substrate adhesion-dependent cell spreading [GO:0034446]; T cell migration [GO:0072678]	ENSG00000139626	P26010
PTGIR	prostaglandin I2 receptor 	0.826797239770873	G-protein coupled receptor 1 family	Cell membrane; Multi-pass membrane protein.	cytosol [GO:0005829]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	prostacyclin receptor activity [GO:0016501]	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell-cell signaling [GO:0007267]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; inflammatory response [GO:0006954]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; response to lipopolysaccharide [GO:0032496]	ENSG00000160013	P43119
PLA2R1	phospholipase A2 receptor 1 	0.8165291415730337	NA	Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Soluble secretory phospholipase A2 receptor]: Secreted {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.	cell surface [GO:0009986]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	carbohydrate binding [GO:0030246]; phospholipase binding [GO:0043274]; signaling receptor activity [GO:0038023]	negative regulation of arachidonic acid secretion [GO:1900139]; negative regulation of phospholipase A2 activity [GO:1900138]; oxidative stress-induced premature senescence [GO:0090403]; positive regulation of arachidonic acid secretion [GO:0090238]; positive regulation of cytokine production [GO:0001819]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; positive regulation of glomerular visceral epithelial cell apoptotic process [GO:1904635]; reactive oxygen species metabolic process [GO:0072593]; receptor-mediated endocytosis [GO:0006898]; replicative senescence [GO:0090399]	ENSG00000153246	Q13018
ROBO3	roundabout guidance receptor 3 	0.799382592958963	Immunoglobulin superfamily, ROBO family	Membrane {ECO:0000250|UniProtKB:Q9Z2I4}; Single-pass type I membrane protein {ECO:0000255}.	axon [GO:0030424]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	cell-cell adhesion mediator activity [GO:0098632]	axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; chemoattraction of axon [GO:0061642]; commissural neuron axon guidance [GO:0071679]; dendrite self-avoidance [GO:0070593]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	ENSG00000154134	Q96MS0
ITGAL	integrin subunit alpha L 	0.7962326796988036	Integrin alpha chain family	Cell membrane {ECO:0000269|PubMed:16301335}; Single-pass type I membrane protein {ECO:0000255}.	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; integrin alphaL-beta2 complex [GO:0034687]; integrin complex [GO:0008305]; membrane [GO:0016020]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]	cell adhesion molecule binding [GO:0050839]; ICAM-3 receptor activity [GO:0030369]; metal ion binding [GO:0046872]; protein-containing complex binding [GO:0044877]	cell adhesion [GO:0007155]; cell-cell adhesion [GO:0098609]; cell-matrix adhesion [GO:0007160]; extracellular matrix organization [GO:0030198]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; inflammatory response [GO:0006954]; integrin-mediated signaling pathway [GO:0007229]; leukocyte cell-cell adhesion [GO:0007159]; leukocyte migration [GO:0050900]; memory T cell extravasation [GO:0035683]; neutrophil degranulation [GO:0043312]; phagocytosis [GO:0006909]; receptor clustering [GO:0043113]; regulation of immune response [GO:0050776]; signal transduction [GO:0007165]; T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:0002291]; viral process [GO:0016032]	ENSG00000005844	P20701
NOTCH4	notch receptor 4 	0.7919277726457328	NOTCH family	Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Notch 4 intracellular domain]: Nucleus. Note=Following proteolytical processing NICD is translocated to the nucleus.	cell surface [GO:0009986]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	calcium ion binding [GO:0005509]; Notch binding [GO:0005112]; signaling receptor activity [GO:0038023]	branching involved in blood vessel morphogenesis [GO:0001569]; cell differentiation [GO:0030154]; cell fate determination [GO:0001709]; endothelial cell morphogenesis [GO:0001886]; epithelial to mesenchymal transition [GO:0001837]; hemopoiesis [GO:0030097]; mammary gland development [GO:0030879]; miRNA mediated inhibition of translation [GO:0035278]; morphogenesis of a branching structure [GO:0001763]; negative regulation of cell adhesion molecule production [GO:0060354]; negative regulation of cell-cell adhesion mediated by cadherin [GO:2000048]; negative regulation of cell differentiation [GO:0045596]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription of Notch receptor target [GO:0007221]; transcription initiation from RNA polymerase II promoter [GO:0006367]; vasculature development [GO:0001944]; wound healing [GO:0042060]	ENSG00000235396	Q99466
ADGRE2	adhesion G protein-coupled receptor E2 	0.7917347364494122	G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily	Cell membrane {ECO:0000269|PubMed:22310662, ECO:0000269|PubMed:26841242}; Multi-pass membrane protein. Cell projection, ruffle membrane {ECO:0000269|PubMed:17928360}; Multi-pass membrane protein. Note=Localized at the leading edge of migrating cells. {ECO:0000269|PubMed:17928360}.	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; leading edge membrane [GO:0031256]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]	calcium ion binding [GO:0005509]; chondroitin sulfate binding [GO:0035374]; G protein-coupled receptor activity [GO:0004930]	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]; granulocyte chemotaxis [GO:0071621]; inflammatory response [GO:0006954]; regulation of mast cell degranulation [GO:0043304]	ENSG00000127507	Q9UHX3
TEK	TEK receptor tyrosine kinase 	0.7845818712076722	Protein kinase superfamily, Tyr protein kinase family, Tie subfamily	Cell membrane {ECO:0000269|PubMed:18425119, ECO:0000269|PubMed:18425120, ECO:0000269|PubMed:19079259, ECO:0000269|PubMed:27270174}; Single-pass type I membrane protein. Cell junction {ECO:0000269|PubMed:18425119, ECO:0000269|PubMed:18425120, ECO:0000269|PubMed:27270174}. Cell junction, focal adhesion {ECO:0000305|PubMed:19293632}. Cytoplasm, cytoskeleton. Secreted {ECO:0000269|PubMed:11806244}. Note=Recruited to cell-cell contacts in quiescent endothelial cells (PubMed:18425120, PubMed:18425119). Colocalizes with the actin cytoskeleton and at actin stress fibers during cell spreading. Recruited to the lower surface of migrating cells, especially the rear end of the cell. Proteolytic processing gives rise to a soluble extracellular domain that is secreted (PubMed:11806244). {ECO:0000269|PubMed:11806244, ECO:0000269|PubMed:18425119, ECO:0000269|PubMed:18425120}.	apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; cell-cell junction [GO:0005911]; cell surface [GO:0009986]; centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	ATP binding [GO:0005524]; growth factor binding [GO:0019838]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; protein tyrosine kinase activity [GO:0004713]; signaling receptor activity [GO:0038023]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	angiogenesis [GO:0001525]; cell-cell signaling [GO:0007267]; definitive hemopoiesis [GO:0060216]; endochondral ossification [GO:0001958]; endothelial cell proliferation [GO:0001935]; glomerulus vasculature development [GO:0072012]; heart development [GO:0007507]; heart trabecula formation [GO:0060347]; leukocyte migration [GO:0050900]; MAPK cascade [GO:0000165]; multicellular organism development [GO:0007275]; negative regulation of angiogenesis [GO:0016525]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of inflammatory response [GO:0050728]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of actin cytoskeleton reorganization [GO:2000251]; positive regulation of angiogenesis [GO:0045766]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; protein autophosphorylation [GO:0046777]; regulation of endothelial cell apoptotic process [GO:2000351]; regulation of establishment or maintenance of cell polarity [GO:0032878]; regulation of vascular permeability [GO:0043114]; response to cAMP [GO:0051591]; response to estrogen [GO:0043627]; response to hypoxia [GO:0001666]; response to peptide hormone [GO:0043434]; signal transduction [GO:0007165]; sprouting angiogenesis [GO:0002040]; substrate adhesion-dependent cell spreading [GO:0034446]; Tie signaling pathway [GO:0048014]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	ENSG00000120156	Q02763
