hgnc_symbol	description	keep_in_list?	comments	mean_islet_tpm	Protein.families	Annotated.category (Sci Signaling 2019)	Subcellular_location (UniProt)	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession	genecards_url	known_receptor	Genetic Associations (https://t2d.hugeamp.org/)
ADAM10	ADAM metallopeptidase domain 10	No	Sheddase	93.379672	NA	Intracellular or membrane-bound	Cell membrane {ECO:0000269|PubMed:20624979, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:24990881, ECO:0000269|PubMed:26686862, ECO:0000269|PubMed:29430990, ECO:0000269|PubMed:30463011}; Single-pass type I membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000269|PubMed:12475894}; Single-pass type I membrane protein {ECO:0000305}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000269|PubMed:12475894}. Cell projection, axon {ECO:0000250|UniProtKB:O35598}. Cell projection, dendrite {ECO:0000250|UniProtKB:O35598}. Cell junction, adherens junction {ECO:0000269|PubMed:30463011}. Cytoplasm {ECO:0000269|PubMed:30463011}. Note=Is localized in the plasma membrane but is also expressed in the Golgi apparatus and in clathrin-coated vesicles derived likely from the Golgi (PubMed:12475894). During long term depression, it is recruited to the cell membrane by DLG1 (PubMed:23676497). The immature form is mainly located near cytoplasmic fibrillar structures, while the mature form is predominantly located at zonula adherens and the cell membrane (PubMed:30463011). The localization and clustering of mature ADAM10 to zonula adherens is regulated by AFDN, TSPAN33, PLEKHA7 and PDZD11 (PubMed:30463011). {ECO:0000269|PubMed:12475894, ECO:0000269|PubMed:23676497, ECO:0000269|PubMed:30463011}.	adherens junction [GO:0005912]; axon [GO:0030424]; cell surface [GO:0009986]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle [GO:0005798]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; pore complex [GO:0046930]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; specific granule membrane [GO:0035579]; synaptic membrane [GO:0097060]; synaptic vesicle [GO:0008021]; tertiary granule membrane [GO:0070821]; tetraspanin-enriched microdomain [GO:0097197]; trans-Golgi network [GO:0005802]	endopeptidase activity [GO:0004175]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; SH3 domain binding [GO:0017124]; signaling receptor binding [GO:0005102]	adherens junction organization [GO:0034332]; amyloid-beta formation [GO:0034205]; amyloid fibril formation [GO:1990000]; amyloid precursor protein catabolic process [GO:0042987]; cell-cell signaling [GO:0007267]; cellular protein metabolic process [GO:0044267]; cochlea development [GO:0090102]; constitutive protein ectodomain proteolysis [GO:0051089]; extracellular matrix disassembly [GO:0022617]; integrin-mediated signaling pathway [GO:0007229]; in utero embryonic development [GO:0001701]; membrane protein ectodomain proteolysis [GO:0006509]; monocyte activation [GO:0042117]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell cycle arrest [GO:0071157]; negative regulation of gene expression [GO:0010629]; neutrophil degranulation [GO:0043312]; Notch receptor processing, ligand-dependent [GO:0035333]; Notch signaling pathway [GO:0007219]; pore complex assembly [GO:0046931]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of T cell chemotaxis [GO:0010820]; postsynapse organization [GO:0099173]; post-translational protein modification [GO:0043687]; protein phosphorylation [GO:0006468]; protein processing [GO:0016485]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of Notch signaling pathway [GO:0008593]; regulation of vasculature development [GO:1901342]; response to antineoplastic agent [GO:0097327]; response to tumor necrosis factor [GO:0034612]; spermatogenesis [GO:0007283]; toxin transport [GO:1901998]	ENSG00000137845	O14672	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM10&keywords=ADAM10		
ADAM12	ADAM metallopeptidase domain 12	No		3.235125	NA	Locally secreted in female tissues	[Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000305}.	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; SH3 domain binding [GO:0017124]	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]; myoblast fusion [GO:0007520]; positive regulation of angiogenesis [GO:0045766]	ENSG00000148848	O43184	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM12&keywords=ADAM12		
ADAM17	ADAM metallopeptidase domain 17	No		23.238135	NA	Intracellular or membrane-bound	Membrane; Single-pass type I membrane protein.	actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	endopeptidase activity [GO:0004175]; integrin binding [GO:0005178]; interleukin-6 receptor binding [GO:0005138]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; Notch binding [GO:0005112]; PDZ domain binding [GO:0030165]; peptidase activity [GO:0008233]; SH3 domain binding [GO:0017124]	amyloid precursor protein catabolic process [GO:0042987]; B cell differentiation [GO:0030183]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell motility [GO:0048870]; cellular response to high density lipoprotein particle stimulus [GO:0071403]; defense response to Gram-positive bacterium [GO:0050830]; epidermal growth factor receptor signaling pathway [GO:0007173]; germinal center formation [GO:0002467]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neutrophil mediated immunity [GO:0002446]; Notch receptor processing [GO:0007220]; Notch signaling pathway [GO:0007219]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell growth [GO:0030307]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular component movement [GO:0051272]; positive regulation of chemokine production [GO:0032722]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of epidermal growth factor-activated receptor activity [GO:0045741]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of leukocyte chemotaxis [GO:0002690]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of T cell chemotaxis [GO:0010820]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; protein processing [GO:0016485]; proteolysis [GO:0006508]; receptor transactivation [GO:0035624]; regulation of mast cell apoptotic process [GO:0033025]; response to drug [GO:0042493]; response to hypoxia [GO:0001666]; response to lipopolysaccharide [GO:0032496]; spleen development [GO:0048536]; T cell differentiation in thymus [GO:0033077]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; wound healing, spreading of epidermal cells [GO:0035313]	ENSG00000151694	P78536	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17&keywords=ADAM17		
ADAM18	ADAM metallopeptidase domain 18	No		0.004704	NA	Intracellular or membrane-bound	Membrane; Single-pass type I membrane protein.	integral component of membrane [GO:0016021]; membrane [GO:0016020]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]	binding of sperm to zona pellucida [GO:0007339]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283]	ENSG00000168619	Q9Y3Q7	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM18&keywords=ADAM18		
ADAM22	ADAM metallopeptidase domain 22	No		3.002358	NA	Intracellular or membrane-bound	Cell membrane {ECO:0000269|PubMed:27066583}; Single-pass type I membrane protein {ECO:0000305}. Cell projection, axon {ECO:0000250|UniProtKB:Q9R1V6}.	axon [GO:0030424]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; integral component of postsynaptic density membrane [GO:0099061]; plasma membrane [GO:0005886]	integrin binding [GO:0005178]; metalloendopeptidase activity [GO:0004222]	adult locomotory behavior [GO:0008344]; cell adhesion [GO:0007155]; central nervous system development [GO:0007417]; myelination in peripheral nervous system [GO:0022011]; negative regulation of cell adhesion [GO:0007162]; neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0099645]	ENSG00000008277	Q9P0K1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM22&keywords=ADAM22		
ADAM23	ADAM metallopeptidase domain 23	No		1.252351	NA	Intracellular or membrane-bound	Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform Gamma]: Secreted.	extracellular region [GO:0005576]; glutamatergic synapse [GO:0098978]; integral component of plasma membrane [GO:0005887]; integral component of presynaptic membrane [GO:0099056]; plasma membrane [GO:0005886]	integrin binding [GO:0005178]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]	cell adhesion [GO:0007155]; cellular response to leukemia inhibitory factor [GO:1990830]; central nervous system development [GO:0007417]	ENSG00000114948	O75077	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM23&keywords=ADAM23		
ADAM28	ADAM metallopeptidase domain 28	No		5.493158	NA	Secreted to blood	[Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]	endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]	spermatogenesis [GO:0007283]	ENSG00000042980	Q9UKQ2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM28&keywords=ADAM28		
ADAM7	ADAM metallopeptidase domain 7	No		0.009242	NA	Intracellular or membrane-bound	Membrane; Single-pass type I membrane protein.	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]	NA	ENSG00000069206	Q9H2U9	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM7&keywords=ADAM7		
ADAM8	ADAM metallopeptidase domain 8	No		1.218139	NA	Intracellular or membrane-bound	Membrane; Single-pass type I membrane protein.	alpha9-beta1 integrin-ADAM8 complex [GO:0071133]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; dense core granule membrane [GO:0032127]; ficolin-1-rich granule membrane [GO:0101003]; integral component of plasma membrane [GO:0005887]; phagolysosome [GO:0032010]; plasma membrane [GO:0005886]; podosome [GO:0002102]; specific granule [GO:0042581]; specific granule membrane [GO:0035579]; tertiary granule [GO:0070820]; tertiary granule membrane [GO:0070821]	calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; protein self-association [GO:0043621]; zinc ion binding [GO:0008270]	angiogenesis [GO:0001525]; cell-cell adhesion [GO:0098609]; cell morphogenesis [GO:0000902]; cellular response to hypoxia [GO:0071456]; extracellular matrix disassembly [GO:0022617]; inflammatory response [GO:0006954]; leukocyte migration involved in inflammatory response [GO:0002523]; lymphocyte chemotaxis [GO:0048247]; negative regulation of neuron apoptotic process [GO:0043524]; neutrophil degranulation [GO:0043312]; positive regulation of acute inflammatory response [GO:0002675]; positive regulation of bone resorption [GO:0045780]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cellular extravasation [GO:0002693]; positive regulation of eosinophil migration [GO:2000418]; positive regulation of fibronectin-dependent thymocyte migration [GO:2000415]; positive regulation of innate immune response [GO:0045089]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of neutrophil extravasation [GO:2000391]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein processing [GO:0010954]; positive regulation of protein secretion [GO:0050714]; positive regulation of T cell differentiation in thymus [GO:0033089]; positive regulation of thymocyte apoptotic process [GO:0070245]; positive regulation of tumor necrosis factor (ligand) superfamily member 11 production [GO:2000309]; regulation of cell-cell adhesion [GO:0022407]	ENSG00000151651	P78325	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM8&keywords=ADAM8		
ADAM9	ADAM metallopeptidase domain 9	No		115.668104	NA	Secreted - unknown location	[Isoform 1]: Cell membrane {ECO:0000269|PubMed:8647900}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:12054541}.	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; intrinsic component of external side of plasma membrane [GO:0031233]	collagen binding [GO:0005518]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; protein kinase C binding [GO:0005080]; SH3 domain binding [GO:0017124]	activation of MAPKK activity [GO:0000186]; amyloid precursor protein catabolic process [GO:0042987]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cell migration [GO:0016477]; cellular response to lipopolysaccharide [GO:0071222]; integrin-mediated signaling pathway [GO:0007229]; keratinocyte differentiation [GO:0030216]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; monocyte activation [GO:0042117]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell migration [GO:0030335]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of protein secretion [GO:0050714]; protein processing [GO:0016485]; response to calcium ion [GO:0051592]; response to glucocorticoid [GO:0051384]; response to hydrogen peroxide [GO:0042542]; response to manganese ion [GO:0010042]; response to tumor necrosis factor [GO:0034612]; transforming growth factor beta receptor signaling pathway [GO:0007179]	ENSG00000168615	Q13443	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM9&keywords=ADAM9		
