uniprot_gn_id	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
Q99665	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 2 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 2 subfamily	NA	NA	DOMAIN 126..221;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 226..319;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 320..419;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 423..520;  /note=Fibronectin type-III 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 521..620;  /note=Fibronectin type-III 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 305..309;  /note=WSXWS motif; MOTIF 662..670;  /note=Box 1 motif	REGION 725..755;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 796..801;  /note=Required for STAT4 binding	NA	NA
P78552	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 5 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 5 subfamily	NA	NA	DOMAIN 34..123;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 128..226;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 227..339;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 327..331;  /note=WSXWS motif; MOTIF 374..382;  /note=Box 1 motif	NA	NA	NA
Q14627	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 5 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 5 subfamily	NA	NA	DOMAIN 34..134;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 139..235;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 240..333;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 322..326;  /note=WSXWS motif	NA	NA	NA
Q13261	NA	NA	NA	NA	COMPBIAS 105..178;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 31..95;  /note=Sushi;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302	NA	REGION 102..178;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q96F46	NA	NA	NA	NA	COMPBIAS 787..805;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 377..534;  /note=SEFIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00867	NA	REGION 717..736;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 773..840;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9NRM6	NA	NA	NA	NA	NA	DOMAIN 331..477;  /note=SEFIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00867	NA	NA	NA	NA
Q8NAC3	NA	NA	NA	NA	NA	DOMAIN 583..735;  /note=SEFIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00867	NA	REGION 762..791;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q13478	DOMAIN: The TIR domain mediates NAD(+) hydrolase (NADase) activity. Self-association of TIR domains is required for NADase activity. {ECO:0000255|PROSITE-ProRule:PRU00204}.	SIMILARITY: Belongs to the interleukin-1 receptor family. {ECO:0000305}.	Interleukin-1 receptor family	NA	NA	DOMAIN 33..121;  /note=Ig-like C2-type 1; DOMAIN 133..212;  /note=Ig-like C2-type 2; DOMAIN 220..312;  /note=Ig-like C2-type 3; DOMAIN 373..520;  /note=TIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00204	NA	NA	NA	NA
O95256	DOMAIN: The TIR domain mediates NAD(+) hydrolase (NADase) activity. Self-association of TIR domains is required for NADase activity. {ECO:0000255|PROSITE-ProRule:PRU00204}.	SIMILARITY: Belongs to the interleukin-1 receptor family. {ECO:0000305}.	Interleukin-1 receptor family	NA	NA	DOMAIN 149..235;  /note=Ig-like C2-type 1; DOMAIN 251..353;  /note=Ig-like C2-type 2; DOMAIN 406..559;  /note=TIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00204	NA	NA	NA	NA
P14778	DOMAIN: The TIR domain mediates NAD(+) hydrolase (NADase) activity. Self-association of TIR domains is required for NADase activity. {ECO:0000255|PROSITE-ProRule:PRU00204}.	SIMILARITY: Belongs to the interleukin-1 receptor family. {ECO:0000305}.	Interleukin-1 receptor family	NA	COMPBIAS 555..569;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 23..110;  /note=Ig-like C2-type 1; DOMAIN 118..210;  /note=Ig-like C2-type 2; DOMAIN 226..328;  /note=Ig-like C2-type 3; DOMAIN 383..538;  /note=TIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00204	NA	REGION 540..569;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P27930	NA	SIMILARITY: Belongs to the interleukin-1 receptor family. {ECO:0000305}.	Interleukin-1 receptor family	NA	NA	DOMAIN 18..124;  /note=Ig-like C2-type 1; DOMAIN 134..223;  /note=Ig-like C2-type 2; DOMAIN 237..349;  /note=Ig-like C2-type 3	NA	REGION 329..343;  /note=Contains proteolytic cleavage site;  /evidence=ECO:0000305	NA	NA
Q9NPH3	DOMAIN: The TIR domain mediates NAD(+) hydrolase (NADase) activity. Self-association of TIR domains is required for NADase activity. {ECO:0000255|PROSITE-ProRule:PRU00204}.	SIMILARITY: Belongs to the interleukin-1 receptor family. {ECO:0000305}.	Interleukin-1 receptor family	NA	NA	DOMAIN 21..128;  /note=Ig-like C2-type 1; DOMAIN 141..230;  /note=Ig-like C2-type 2; DOMAIN 242..348;  /note=Ig-like C2-type 3; DOMAIN 403..546;  /note=TIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00204	NA	REGION 69..85;  /note=Essential for interaction with PTPRD;  /evidence=ECO:0000250|UniProtKB:Q61730; REGION 549..570;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9NZN1	DOMAIN: The TIR domain mediates NAD(+) hydrolase (NADase) activity. Self-association of TIR domains is required for NADase activity. {ECO:0000255|PROSITE-ProRule:PRU00204}.	SIMILARITY: Belongs to the interleukin-1 receptor family. {ECO:0000305}.	Interleukin-1 receptor family	NA	NA	DOMAIN 19..134;  /note=Ig-like C2-type 1; DOMAIN 143..232;  /note=Ig-like C2-type 2; DOMAIN 242..350;  /note=Ig-like C2-type 3; DOMAIN 403..559;  /note=TIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00204	NA	REGION 549..644;  /note=Interaction with NCS1;  /evidence=ECO:0000269|PubMed:12783849; REGION 659..680;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9HB29	DOMAIN: The TIR domain mediates NAD(+) hydrolase (NADase) activity. Self-association of TIR domains is required for NADase activity. {ECO:0000255|PROSITE-ProRule:PRU00204}.	SIMILARITY: Belongs to the interleukin-1 receptor family. {ECO:0000305}.	Interleukin-1 receptor family	NA	NA	DOMAIN 20..111;  /note=Ig-like C2-type 1; DOMAIN 126..211;  /note=Ig-like C2-type 2; DOMAIN 222..318;  /note=Ig-like C2-type 3; DOMAIN 381..536;  /note=TIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00204	NA	NA	NA	NA
Q9UHF4	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	COMPBIAS 333..347;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 479..502;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 37..135;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 136..242;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	REGION 333..353;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 462..515;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q6UXL0	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	NA	DOMAIN 37..136;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 144..228;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	NA	NA	NA
Q9HBE5	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding. {ECO:0000269|PubMed:22235133}.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation. {ECO:0000269|PubMed:22235133}.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 4 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 4 subfamily	NA	NA	DOMAIN 21..118;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 119..228;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 214..218;  /note=WSXWS motif; MOTIF 266..274;  /note=Box 1 motif	REGION 342..367;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 457..487;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q8N6P7	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	COMPBIAS 469..483;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 17..124;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 141..221;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	REGION 388..440;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 454..489;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 507..560;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q969J5	NA	SIMILARITY: Belongs to the type II cytokine receptor family. {ECO:0000305}.	Type II cytokine receptor family	NA	NA	DOMAIN 26..68;  /note=Fibronectin type-III 1; DOMAIN 100..161;  /note=Fibronectin type-III 2; DOMAIN 162..263;  /note=Fibronectin type-III 3	NA	NA	NA	NA
Q5VWK5	NA	SIMILARITY: Belongs to the type I cytokine receptor family. Type 2 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 2 subfamily	NA	NA	DOMAIN 127..217;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 219..318;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	NA	NA	NA
Q6UWB1	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 2 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 2 subfamily	NA	NA	DOMAIN 131..231;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 322..417;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 419..511;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 217..221;  /note=WSXWS motif; MOTIF 554..562;  /note=Box 1 motif	REGION 587..636;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q6UWB11	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 2 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 2 subfamily	NA	NA	DOMAIN 131..231;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 322..417;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 419..511;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 217..221;  /note=WSXWS motif; MOTIF 554..562;  /note=Box 1 motif	REGION 587..636;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P01589	NA	NA	NA	NA	NA	DOMAIN 22..84;  /note=Sushi 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 123..186;  /note=Sushi 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302	NA	REGION 87..123;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 190..212;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P14784	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 4 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 4 subfamily	NA	COMPBIAS 468..484;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 134..234;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 220..224;  /note=WSXWS motif; MOTIF 278..286;  /note=Box 1 motif	REGION 389..416;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 432..486;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P31785	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 5 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 5 subfamily	NA	NA	DOMAIN 156..253;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 237..241;  /note=WSXWS motif; MOTIF 286..294;  /note=Box 1 motif	NA	NA	NA
Q8NI17	NA	SIMILARITY: Belongs to the type I cytokine receptor family. Type 2 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 2 subfamily	NA	NA	DOMAIN 24..122;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 124..225;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 223..315;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 319..416;  /note=Fibronectin type-III 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 421..515;  /note=Fibronectin type-III 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	NA	NA	NA
P26951	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 5 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 5 subfamily	NA	NA	NA	MOTIF 282..286;  /note=WSXWS motif; MOTIF 334..342;  /note=Box 1 motif	NA	NA	NA
P24394	DOMAIN: The extracellular domain represents the IL4 binding protein (IL4BP).; DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.; DOMAIN: Contains 1 copy of a cytoplasmic motif that is referred to as the immunoreceptor tyrosine-based inhibitor motif (ITIM). This motif is involved in modulation of cellular responses. The phosphorylated ITIM motif can bind the SH2 domain of several SH2-containing phosphatases.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 4 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 4 subfamily	NA	COMPBIAS 381..397;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 784..809;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 125..224;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 212..216;  /note=WSXWS motif; MOTIF 262..270;  /note=Box 1 motif; MOTIF 711..716;  /note=ITIM motif	REGION 373..397;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 433..485;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 437..557;  /note=Required for IRS1 activation and IL4-induced cell growth; REGION 558..657;  /note=Required for IL4-induced gene expression; REGION 651..703;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 782..809;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q01344	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 5 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 5 subfamily	NA	NA	DOMAIN 32..123;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 241..334;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 322..326;  /note=WSXWS motif; MOTIF 371..379;  /note=Box 1 motif	NA	NA	NA
P08887	DOMAIN: The two fibronectin type-III-like domains, contained in the N-terminal part, form together a cytokine-binding domain.; DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 3 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 3 subfamily	NA	COMPBIAS 311..328;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 26..112;  /note=Ig-like C2-type; DOMAIN 113..217;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 218..316;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 303..307;  /note=WSXWS motif	REGION 303..328;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 421..468;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P40189	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 2 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 2 subfamily	NA	COMPBIAS 724..758;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 26..120;  /note=Ig-like C2-type; DOMAIN 125..216;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 224..324;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 329..424;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 426..517;  /note=Fibronectin type-III 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 518..613;  /note=Fibronectin type-III 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 310..314;  /note=WSXWS motif; MOTIF 651..659;  /note=Box 1 motif	REGION 660..681;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 722..758;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P16871	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 4 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 4 subfamily	NA	NA	DOMAIN 131..231;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 217..221;  /note=WSXWS motif; MOTIF 272..280;  /note=Box 1 motif	NA	NA	NA
Q01113	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 4 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 4 subfamily	NA	COMPBIAS 422..439;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 149..259;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 245..249;  /note=WSXWS motif; MOTIF 301..309;  /note=Box 1 motif	REGION 413..439;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P06213	DOMAIN: The tetrameric insulin receptor binds insulin via non-identical regions from two alpha chains, primarily via the C-terminal region of the first INSR alpha chain. Residues from the leucine-rich N-terminus of the other INSR alpha chain also contribute to this insulin binding site. A secondary insulin-binding site is formed by residues at the junction of fibronectin type-III domain 1 and 2. {ECO:0000269|PubMed:16957736, ECO:0000269|PubMed:19459609, ECO:0000269|PubMed:23302862}.	SIMILARITY: Belongs to the protein kinase superfamily. Tyr protein kinase family. Insulin receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00159}.	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	NA	NA	DOMAIN 624..726;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 757..842;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 853..947;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 1023..1298;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 686..708;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 733..741;  /note=Insulin-binding; REGION 746..766;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 999;  /note=Important for interaction with IRS1, SHC1 and STAT5B;  /evidence=ECO:0000269|PubMed:9428692; REGION 1360..1382;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1361..1364;  /note=PIK3R1-binding	NA	NA
