UniProt.accession	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
Q9Y5R2	SUBCELLULAR LOCATION: [Matrix metalloproteinase-24]: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Note=Recycled back to the plasma membrane through the trans-Golgi network via interaction with APBA3. {ECO:0000250}.; SUBCELLULAR LOCATION: [Processed matrix metalloproteinase-24]: Secreted, extracellular space, extracellular matrix {ECO:0000250}. Note=Also shed from cell surface as soluble proteinase, by a proteolytic cleavage. {ECO:0000250}.	NA	TOPO_DOM 53..602;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 624..645;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 603..623;  /note=Helical;  /evidence=ECO:0000255
P00742	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P35968	SUBCELLULAR LOCATION: Cell junction {ECO:0000250}. Endoplasmic reticulum {ECO:0000269|PubMed:23529610}. Cell membrane {ECO:0000269|PubMed:25825981}. Note=Localized with RAP1A at cell-cell junctions (By similarity). Colocalizes with ERN1 and XBP1 in the endoplasmic reticulum in endothelial cells in a vascular endothelial growth factor (VEGF)-dependent manner (PubMed:23529610). {ECO:0000250, ECO:0000269|PubMed:23529610}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Cytoplasm. Nucleus. Cytoplasmic vesicle. Early endosome. Note=Detected on caveolae-enriched lipid rafts at the cell surface. Is recycled from the plasma membrane to endosomes and back again. Phosphorylation triggered by VEGFA binding promotes internalization and subsequent degradation. VEGFA binding triggers internalization and translocation to the nucleus.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.	NA	TOPO_DOM 20..764;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 786..1356;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 765..785;  /note=Helical;  /evidence=ECO:0000255
Q9HCR9	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:10906126}.	NA	NA	NA
Q9BYF1	SUBCELLULAR LOCATION: [Processed angiotensin-converting enzyme 2]: Secreted {ECO:0000269|PubMed:15983030, ECO:0000269|PubMed:33713620}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18424768}; Single-pass type I membrane protein {ECO:0000255}. Cytoplasm {ECO:0000250|UniProtKB:Q8R0I0}. Cell projection, cilium {ECO:0000269|PubMed:33432184}. Apical cell membrane {ECO:0000269|PubMed:33432184}. Note=Detected in both cell membrane and cytoplasm in neurons. {ECO:0000250|UniProtKB:Q8R0I0}.; SUBCELLULAR LOCATION: [Isoform 2]: Apical cell membrane {ECO:0000269|PubMed:33432184}.	NA	TOPO_DOM 18..740;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 762..805;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 741..761;  /note=Helical;  /evidence=ECO:0000255
P00748	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q16853	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:9653080}; Single-pass type II membrane protein {ECO:0000269|PubMed:9653080}.	NA	TOPO_DOM 1..5;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 27..763;  /note=Extracellular;  /evidence=ECO:0000255	TRANSMEM 6..26;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P16234	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14644164, ECO:0000269|PubMed:2554309, ECO:0000269|PubMed:8188664}; Single-pass type I membrane protein {ECO:0000269|PubMed:14644164, ECO:0000269|PubMed:2554309, ECO:0000269|PubMed:8188664}. Cell projection, cilium {ECO:0000250|UniProtKB:P26618}. Golgi apparatus {ECO:0000250|UniProtKB:P26618}.	NA	TOPO_DOM 24..528;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 550..1089;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 529..549;  /note=Helical;  /evidence=ECO:0000255
P04083	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:19625660}. Cytoplasm {ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:17008549, ECO:0000269|PubMed:19625660}. Cell projection, cilium {ECO:0000250|UniProtKB:P46193}. Cell membrane {ECO:0000269|PubMed:10772777}. Membrane {ECO:0000269|PubMed:17008549, ECO:0000269|PubMed:2532504, ECO:0000269|PubMed:8557678}; Peripheral membrane protein {ECO:0000269|PubMed:2532504, ECO:0000269|PubMed:8557678}. Endosome membrane {ECO:0000250|UniProtKB:P07150}; Peripheral membrane protein {ECO:0000250|UniProtKB:P07150}. Basolateral cell membrane {ECO:0000250|UniProtKB:P51662}. Apical cell membrane {ECO:0000250|UniProtKB:P10107}. Lateral cell membrane {ECO:0000250|UniProtKB:P10107}. Secreted {ECO:0000269|PubMed:17008549, ECO:0000269|PubMed:19625660, ECO:0000269|PubMed:25664854}. Secreted, extracellular space {ECO:0000269|PubMed:25664854}. Cell membrane {ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:19625660, ECO:0000269|PubMed:25664854}; Peripheral membrane protein {ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:19625660, ECO:0000269|PubMed:25664854}; Extracellular side {ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:19625660, ECO:0000269|PubMed:25664854}. Secreted, extracellular exosome {ECO:0000269|PubMed:25664854}. Cytoplasmic vesicle, secretory vesicle lumen {ECO:0000269|PubMed:10772777}. Cell projection, phagocytic cup {ECO:0000250|UniProtKB:P10107}. Early endosome {ECO:0000250|UniProtKB:P19619}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:P19619}; Peripheral membrane protein {ECO:0000250|UniProtKB:P19619}. Note=Secreted, at least in part via exosomes and other secretory vesicles. Detected in exosomes and other extracellular vesicles (PubMed:25664854). Alternatively, the secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in the protein translocation from the cytoplasm into ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion (PubMed:32272059). Detected in gelatinase granules in resting neutrophils (PubMed:10772777). Secretion is increased in response to wounding and inflammation (PubMed:25664854). Secretion is increased upon T-cell activation (PubMed:17008549). Neutrophil adhesion to endothelial cells stimulates secretion via gelatinase granules, but foreign particle phagocytosis has no effect (PubMed:10772777). Colocalizes with actin fibers at phagocytic cups (By similarity). Displays calcium-dependent binding to phospholipid membranes (PubMed:2532504, PubMed:8557678). {ECO:0000250|UniProtKB:P10107, ECO:0000269|PubMed:10772777, ECO:0000269|PubMed:17008549, ECO:0000269|PubMed:2532504, ECO:0000269|PubMed:25664854, ECO:0000269|PubMed:32272059, ECO:0000269|PubMed:8557678}.	NA	NA	NA
P05231	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11080265}.	NA	NA	NA
O00206	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11274165, ECO:0000269|PubMed:17098818, ECO:0000269|PubMed:20037584, ECO:0000269|PubMed:21393102, ECO:0000269|PubMed:27022195, ECO:0000269|PubMed:9237759}; Single-pass type I membrane protein {ECO:0000269|PubMed:11274165}. Early endosome {ECO:0000269|PubMed:27022195}. Cell projection, ruffle {ECO:0000250|UniProtKB:Q9QUK6}. Note=Upon complex formation with CD36 and TLR6, internalized through dynamin-dependent endocytosis (PubMed:20037584). Colocalizes with RFTN1 at cell membrane and then together with RFTN1 moves to endosomes, upon lipopolysaccharide stimulation. {ECO:0000269|PubMed:20037584}.	NA	TOPO_DOM 24..631;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 653..839;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 632..652;  /note=Helical;  /evidence=ECO:0000255
P09237	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}.	NA	NA	NA
O60882	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q9H306	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein {ECO:0000269|PubMed:24548619}. Note=Retained in the endoplasmic reticulum. {ECO:0000269|PubMed:24548619}.	NA	NA	NA
P45452	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305|PubMed:8576151}. Secreted {ECO:0000269|PubMed:8576151}.	NA	NA	NA
P09038	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20230531}. Nucleus {ECO:0000269|PubMed:22321063}. Note=Exported from cells by an endoplasmic reticulum (ER)/Golgi-independent mechanism. Unconventional secretion of FGF2 occurs by direct translocation across the plasma membrane (PubMed:20230531). Binding of exogenous FGF2 to FGFR facilitates endocytosis followed by translocation of FGF2 across endosomal membrane into the cytosol (PubMed:22321063). Nuclear import from the cytosol requires the classical nuclear import machinery, involving proteins KPNA1 and KPNB1, as well as CEP57 (PubMed:22321063). {ECO:0000269|PubMed:20230531, ECO:0000269|PubMed:22321063}.	NA	NA	NA
P55157	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:16478722, ECO:0000269|PubMed:22236406, ECO:0000269|PubMed:23475612, ECO:0000269|PubMed:26224785}. Golgi apparatus {ECO:0000269|PubMed:16478722}. Note=Colocalizes with P4HB/PDI in the endoplasmic reticulum (PubMed:23475612, PubMed:26224785). {ECO:0000269|PubMed:23475612, ECO:0000269|PubMed:26224785}.	NA	NA	NA
P00797	SUBCELLULAR LOCATION: Secreted. Membrane. Note=Associated to membranes via binding to ATP6AP2.	NA	NA	NA
P00533	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17182860, ECO:0000269|PubMed:20462955, ECO:0000269|PubMed:23589287, ECO:0000269|PubMed:27153536, ECO:0000269|PubMed:2790960}; Single-pass type I membrane protein {ECO:0000269|PubMed:27153536}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:27153536}; Single-pass type I membrane protein. Golgi apparatus membrane; Single-pass type I membrane protein. Nucleus membrane; Single-pass type I membrane protein. Endosome {ECO:0000269|PubMed:17182860, ECO:0000269|PubMed:27153536}. Endosome membrane. Nucleus {ECO:0000269|PubMed:17115032, ECO:0000269|PubMed:17909029, ECO:0000269|PubMed:20551055, ECO:0000269|PubMed:20674546}. Note=In response to EGF, translocated from the cell membrane to the nucleus via Golgi and ER (PubMed:20674546, PubMed:17909029). Endocytosed upon activation by ligand (PubMed:2790960, PubMed:17182860, PubMed:27153536, PubMed:17909029). Colocalized with GPER1 in the nucleus of estrogen agonist-induced cancer-associated fibroblasts (CAF) (PubMed:20551055). {ECO:0000269|PubMed:17182860, ECO:0000269|PubMed:17909029, ECO:0000269|PubMed:20674546, ECO:0000269|PubMed:27153536, ECO:0000269|PubMed:2790960}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.	NA	TOPO_DOM 25..645;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 669..1210;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 646..668;  /note=Helical;  /evidence=ECO:0000255
P05093	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:2808364}. Microsome membrane {ECO:0000305|PubMed:2808364}.	NA	NA	NA
P08254	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}.	NA	NA	NA
P47869	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane {ECO:0000250|UniProtKB:P26048}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:P26048}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:P23576}. Cell projection, dendrite {ECO:0000250|UniProtKB:P26048}.	NA	TOPO_DOM 29..251;  /note=Extracellular;  /evidence=ECO:0000305; TOPO_DOM 335..419;  /note=Cytoplasmic;  /evidence=ECO:0000305	TRANSMEM 252..273;  /note=Helical;  /evidence=ECO:0000305; TRANSMEM 279..300;  /note=Helical;  /evidence=ECO:0000305; TRANSMEM 313..334;  /note=Helical;  /evidence=ECO:0000305; TRANSMEM 420..441;  /note=Helical;  /evidence=ECO:0000305
Q95460	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12794138, ECO:0000269|PubMed:18068122, ECO:0000269|PubMed:27043408}; Single-pass type I membrane protein. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18068122, ECO:0000269|PubMed:27043408}; Single-pass type I membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:18068122}; Single-pass type I membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000269|PubMed:27043408}; Single-pass type I membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:18068122, ECO:0000269|PubMed:27043408}; Single-pass type I membrane protein {ECO:0000255}. Note=In the absence of antigen remains within the endoplasmic reticulum where it acts as a metabolite sensor. Antigen binding triggers trafficking of the ternary complex to the plasma membrane. After presentation, most of these complexes are rapidly internalized and degraded via endocytosis. A small subset recycles via endosomes back to the plasma membrane and may thus acquire and present new antigens that do not efficiently reach the endoplasmic reticulum. {ECO:0000269|PubMed:27043408}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:23457030}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:23457030}; Single-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:23457030}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:23457030}; Single-pass membrane protein {ECO:0000255}. Note=The larger proportion remains in the ER in an immature state. The subset that reach cell surface does it through a B2M-independent pathway. {ECO:0000269|PubMed:23457030}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000303|PubMed:9780177}.	NA	TOPO_DOM 23..302;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 324..341;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 303..323;  /note=Helical;  /evidence=ECO:0000255
P54289	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	NA	TOPO_DOM 25..1073;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1095..1103;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 1074..1094;  /note=Helical;  /evidence=ECO:0000255
Q8N119	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P51512	SUBCELLULAR LOCATION: [Isoform Long]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}; Extracellular side {ECO:0000305}. Note=Localized at the cell surface of melanoma cells.; SUBCELLULAR LOCATION: [Isoform Short]: Secreted, extracellular space, extracellular matrix. Cell surface. Note=Localized at the cell surface of melanoma cells.	NA	TOPO_DOM 120..564;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 586..607;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 565..585;  /note=Helical;  /evidence=ECO:0000255
P47989	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Peroxisome {ECO:0000250}. Secreted.	NA	NA	NA
P48551	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:7665574}; Single-pass type I membrane protein {ECO:0000269|PubMed:7665574}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:7665574, ECO:0000269|PubMed:7759950, ECO:0000269|PubMed:8181059}; Single-pass type I membrane protein {ECO:0000269|PubMed:7665574}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:7759950, ECO:0000269|PubMed:8181059}.	NA	TOPO_DOM 27..243;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 265..515;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 244..264;  /note=Helical;  /evidence=ECO:0000255
P00736	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:27745832}.	NA	NA	NA
P12821	SUBCELLULAR LOCATION: [Angiotensin-converting enzyme, soluble form]: Secreted.; SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cytoplasm {ECO:0000250}. Note=Detected in both cell membrane and cytoplasm in neurons. {ECO:0000250}.	NA	TOPO_DOM 30..1256;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1278..1306;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 1257..1277;  /note=Helical;  /evidence=ECO:0000255
P08887	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000250|UniProtKB:P22272}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:28060820}.; SUBCELLULAR LOCATION: [Soluble interleukin-6 receptor subunit alpha]: Secreted {ECO:0000269|PubMed:28060820}.	NA	TOPO_DOM 20..365;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 387..468;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 366..386;  /note=Helical;  /evidence=ECO:0000255
P22455	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Endosome. Endoplasmic reticulum. Note=Internalized from the cell membrane to recycling endosomes, and from there back to the cell membrane.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:11781352}.	NA	TOPO_DOM 22..369;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 391..802;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 370..390;  /note=Helical;  /evidence=ECO:0000255
O75015	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor. Secreted. Note=Secreted after cleavage.	NA	NA	NA
P10696	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor.	NA	NA	NA
P16410	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18468488, ECO:0000269|PubMed:28484017}; Single-pass type I membrane protein {ECO:0000269|PubMed:18468488, ECO:0000269|PubMed:28484017}. Note=Exists primarily an intracellular antigen whose surface expression is tightly regulated by restricted trafficking to the cell surface and rapid internalisation;.	NA	TOPO_DOM 36..161;  /note=Extracellular;  /evidence=ECO:0000305|PubMed:28484017; TOPO_DOM 183..223;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 162..182;  /note=Helical;  /evidence=ECO:0000255
Q16568	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P03952	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P16473	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11847099}; Multi-pass membrane protein {ECO:0000305}. Basolateral cell membrane {ECO:0000269|PubMed:11847099}; Multi-pass membrane protein {ECO:0000305}.	NA	TOPO_DOM 21..413;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 442..450;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 474..494;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 518..537;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 561..580;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 603..625;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 650..660;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 683..764;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 414..441;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 451..473;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 495..517;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 538..560;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 581..602;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 626..649;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 661..682;  /note=Helical; Name=7;  /evidence=ECO:0000255
P09238	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}.	NA	NA	NA
Q9NRE1	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
Q9BQB6	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14765194, ECO:0000269|PubMed:15716279, ECO:0000269|PubMed:16270630, ECO:0000269|PubMed:20978134, ECO:0000269|PubMed:22923610}; Multi-pass membrane protein {ECO:0000269|PubMed:14765194, ECO:0000269|PubMed:15716279, ECO:0000269|PubMed:16270630, ECO:0000269|PubMed:20978134, ECO:0000269|PubMed:22923610}.	NA	TOPO_DOM 1..8;  /note=Lumenal;  /evidence=ECO:0000255; TOPO_DOM 30..74;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 124..126;  /note=Lumenal;  /evidence=ECO:0000305; TOPO_DOM 150..163;  /note=Cytoplasmic;  /evidence=ECO:0000305	TRANSMEM 9..29;  /note=Helical;  /evidence=ECO:0000305; TRANSMEM 75..95;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 101..123;  /note=Helical;  /evidence=ECO:0000305; TRANSMEM 127..149;  /note=Helical;  /evidence=ECO:0000305
